ticket_id,customer_id,ticket_date,category,priority,status,description,resolution_date,created_date,updated_date
T00001,C00845,2026-04-23,Mobile App,HIGH,RESOLVED,Sample mobile app issue 1,2026-05-08,2026-04-23,2026-05-08
T00002,C00996,2025-09-29,Online Banking,L,OPEN,Sample online banking issue 2,,2025-09-29,2025-09-29
T00003,C00093,2026-07-10,Online Banking,L,CLOSED,Sample online banking issue 3,2026-07-24,2026-07-10,2026-07-24
T00004,C00617,2025-09-09,Payments,HIGH,RESOLVED,Sample payments issue 4,2025-09-19,2025-09-09,2025-09-19
T00005,C01123,2026-03-02,Payments,LOW,RESOLVED,Sample payments issue 5,2026-03-03,2026-03-02,2026-03-03
T00006,C01185,2026-08-17,Payments,LOW,NEW,Sample payments issue 6,,2026-08-17,2026-08-17
T00007,C00148,2026-05-09,Transfers,M,NEW,Sample transfers issue 7,,2026-05-09,2026-05-09
T00008,C00402,2026-04-06,Transfers,H,NEW,Sample transfers issue 8,,2026-04-06,2026-04-06
T00009,C00379,2026-01-24,Online Banking,HIGH,OPEN,Sample online banking issue 9,,2026-01-24,2026-01-24
T00010,C00885,2026-07-22,Mobile App,M,NEW,Sample mobile app issue 10,,2026-07-22,2026-07-22
T00011,C00039,2025-09-21,Transfers,LOW,IN PROGRESS,Sample transfers issue 11,,2025-09-21,2025-09-21
T00012,C00591,2026-03-04,Card,LOW,NEW,Sample card issue 12,,2026-03-04,2026-03-04
T00013,C00315,2026-07-01,Account,H,OPEN,Sample account issue 13,,2026-07-01,2026-07-01
T00014,C00212,2026-01-24,Online Banking,M,RESOLVED,Sample online banking issue 14,2026-02-08,2026-01-24,2026-02-08
T00015,C01160,2026-07-11,Account,HIGH,IN PROGRESS,Sample account issue 15,,2026-07-11,2026-07-11
T00016,C00870,2026-08-09,Payments,HIGH,OPEN,Sample payments issue 16,,2026-08-09,2026-08-09
T00017,C00278,2026-05-05,Card,HIGH,CLOSED,Sample card issue 17,2026-05-09,2026-05-05,2026-05-09
T00018,C00655,2026-03-29,Online Banking,HIGH,OPEN,Sample online banking issue 18,,2026-03-29,2026-03-29
T00019,C00361,2025-10-22,Card,H,NEW,Sample card issue 19,,2025-10-22,2025-10-22
T00020,C00057,2026-02-09,Transfers,H,RESOLVED,Sample transfers issue 20,2026-02-13,2026-02-09,2026-02-13
T00021,C00234,2025-09-13,Online Banking,HIGH,CLOSED,Sample online banking issue 21,2025-09-14,2025-09-13,2025-09-14
T00022,C00458,2026-04-09,Card,L,CLOSED,Sample card issue 22,2026-04-18,2026-04-09,2026-04-18
T00023,C00357,2026-06-28,Card,M,NEW,Sample card issue 23,,2026-06-28,2026-06-28
T00024,C00440,2026-05-18,Online Banking,HIGH,CLOSED,Sample online banking issue 24,2026-05-30,2026-05-18,2026-05-30
T00025,C00844,2026-04-16,Account,LOW,CLOSED,Sample account issue 25,2026-04-24,2026-04-16,2026-04-24
T00026,C00444,2026-03-26,Card,M,IN PROGRESS,Sample card issue 26,,2026-03-26,2026-03-26
T00027,C00611,2026-05-15,Account,L,CLOSED,Sample account issue 27,2026-05-27,2026-05-15,2026-05-27
T00028,C00541,2026-01-04,Card,L,RESOLVED,Sample card issue 28,2026-01-04,2026-01-04,2026-01-04
T00029,C00549,2025-11-29,Card,HIGH,RESOLVED,Sample card issue 29,2025-12-12,2025-11-29,2025-12-12
T00030,C00896,2026-07-22,Card,MEDIUM,CLOSED,Sample card issue 30,2026-08-02,2026-07-22,2026-08-02
T00031,C01174,2025-09-27,Account,L,RESOLVED,Sample account issue 31,2025-10-04,2025-09-27,2025-10-04
T00032,C00967,2025-09-26,Card,HIGH,IN PROGRESS,Sample card issue 32,,2025-09-26,2025-09-26
T00033,C00364,2026-02-17,Account,MEDIUM,RESOLVED,Sample account issue 33,2026-02-19,2026-02-17,2026-02-19
T00034,C01153,2026-01-24,Account,H,IN PROGRESS,Sample account issue 34,,2026-01-24,2026-01-24
T00035,C00758,2026-04-04,Card,HIGH,RESOLVED,Sample card issue 35,2026-04-16,2026-04-04,2026-04-16
T00036,C00854,2025-09-25,Mobile App,MEDIUM,CLOSED,Sample mobile app issue 36,2025-09-26,2025-09-25,2025-09-26
T00037,C00969,2026-03-18,Account,M,OPEN,Sample account issue 37,,2026-03-18,2026-03-18
T00038,C01192,2026-04-28,Payments,LOW,NEW,Sample payments issue 38,,2026-04-28,2026-04-28
T00039,C00905,2026-02-10,Account,M,NEW,Sample account issue 39,,2026-02-10,2026-02-10
T00040,C00478,2026-01-29,Transfers,M,RESOLVED,Sample transfers issue 40,2026-02-08,2026-01-29,2026-02-08
T00041,C01181,2026-05-04,Card,L,CLOSED,Sample card issue 41,2026-05-17,2026-05-04,2026-05-17
T00042,C00594,2026-02-26,Card,HIGH,NEW,Sample card issue 42,,2026-02-26,2026-02-26
T00043,C00309,2025-08-21,Mobile App,M,RESOLVED,Sample mobile app issue 43,2025-09-05,2025-08-21,2025-09-05
T00044,C00168,2026-06-27,Payments,HIGH,IN PROGRESS,Sample payments issue 44,,2026-06-27,2026-06-27
T00045,C01121,2025-09-24,Card,HIGH,RESOLVED,Sample card issue 45,2025-10-07,2025-09-24,2025-10-07
T00046,C00587,2026-03-06,Card,MEDIUM,IN PROGRESS,Sample card issue 46,,2026-03-06,2026-03-06
T00047,C00879,2025-11-11,Mobile App,HIGH,IN PROGRESS,Sample mobile app issue 47,,2025-11-11,2025-11-11
T00048,C00208,2025-09-10,Payments,MEDIUM,CLOSED,Sample payments issue 48,2025-09-10,2025-09-10,2025-09-10
T00049,C01159,2025-11-16,Account,MEDIUM,NEW,Sample account issue 49,,2025-11-16,2025-11-16
T00050,C01119,2025-10-20,Mobile App,LOW,NEW,Sample mobile app issue 50,,2025-10-20,2025-10-20
T00051,C00460,2026-07-10,Account,LOW,RESOLVED,Sample account issue 51,2026-07-13,2026-07-10,2026-07-13
T00052,C00807,2025-12-05,Online Banking,L,OPEN,Sample online banking issue 52,,2025-12-05,2025-12-05
T00053,C00946,2025-09-17,Transfers,H,NEW,Sample transfers issue 53,,2025-09-17,2025-09-17
T00054,C01019,2026-08-04,Online Banking,HIGH,NEW,Sample online banking issue 54,,2026-08-04,2026-08-04
T00055,C00121,2025-12-19,Payments,MEDIUM,NEW,Sample payments issue 55,,2025-12-19,2025-12-19
T00056,C00196,2025-08-30,Online Banking,M,NEW,Sample online banking issue 56,,2025-08-30,2025-08-30
T00057,C01135,2025-11-17,Payments,LOW,CLOSED,Sample payments issue 57,2025-11-30,2025-11-17,2025-11-30
T00058,C00564,2026-08-09,Payments,L,CLOSED,Sample payments issue 58,2026-08-13,2026-08-09,2026-08-13
T00059,C00251,2026-05-04,Card,M,OPEN,Sample card issue 59,,2026-05-04,2026-05-04
T00060,C00610,2026-01-27,Mobile App,MEDIUM,NEW,Sample mobile app issue 60,,2026-01-27,2026-01-27
T00061,C00570,2026-01-27,Account,HIGH,NEW,Sample account issue 61,,2026-01-27,2026-01-27
T00062,C00608,2025-10-26,Payments,M,NEW,Sample payments issue 62,,2025-10-26,2025-10-26
T00063,C00223,2026-01-23,Card,MEDIUM,NEW,Sample card issue 63,,2026-01-23,2026-01-23
T00064,C00441,2026-06-08,Online Banking,MEDIUM,CLOSED,Sample online banking issue 64,2026-06-17,2026-06-08,2026-06-17
T00065,C00164,2025-10-29,Mobile App,LOW,IN PROGRESS,Sample mobile app issue 65,,2025-10-29,2025-10-29
T00066,C00848,2026-06-23,Transfers,LOW,NEW,Sample transfers issue 66,,2026-06-23,2026-06-23
T00067,C00943,2026-02-03,Mobile App,H,IN PROGRESS,Sample mobile app issue 67,,2026-02-03,2026-02-03
T00068,C00053,2025-10-05,Transfers,MEDIUM,RESOLVED,Sample transfers issue 68,2025-10-19,2025-10-05,2025-10-19
T00069,C00674,2025-09-03,Card,HIGH,CLOSED,Sample card issue 69,2025-09-10,2025-09-03,2025-09-10
T00070,C00215,2025-10-15,Online Banking,MEDIUM,OPEN,Sample online banking issue 70,,2025-10-15,2025-10-15
T00071,C01170,2026-06-24,Account,H,NEW,Sample account issue 71,,2026-06-24,2026-06-24
T00072,C00558,2026-06-21,Mobile App,LOW,RESOLVED,Sample mobile app issue 72,2026-06-28,2026-06-21,2026-06-28
T00073,C00399,2025-10-23,Online Banking,HIGH,OPEN,Sample online banking issue 73,,2025-10-23,2025-10-23
T00074,C00442,2026-04-22,Account,MEDIUM,IN PROGRESS,Sample account issue 74,,2026-04-22,2026-04-22
T00075,C00421,2025-09-12,Transfers,LOW,RESOLVED,Sample transfers issue 75,2025-09-27,2025-09-12,2025-09-27
T00076,C00094,2026-03-31,Account,L,CLOSED,Sample account issue 76,2026-04-03,2026-03-31,2026-04-03
T00077,C00128,2025-11-12,Online Banking,H,IN PROGRESS,Sample online banking issue 77,,2025-11-12,2025-11-12
T00078,C00152,2026-01-08,Online Banking,M,RESOLVED,Sample online banking issue 78,2026-01-14,2026-01-08,2026-01-14
T00079,C00821,2025-11-13,Online Banking,H,OPEN,Sample online banking issue 79,,2025-11-13,2025-11-13
T00080,C00098,2026-03-27,Online Banking,M,CLOSED,Sample online banking issue 80,2026-03-29,2026-03-27,2026-03-29
T00081,C00309,2025-09-17,Online Banking,L,NEW,Sample online banking issue 81,,2025-09-17,2025-09-17
T00082,C00828,2025-11-04,Online Banking,L,RESOLVED,Sample online banking issue 82,2025-11-17,2025-11-04,2025-11-17
T00083,C00082,2026-08-02,Mobile App,HIGH,OPEN,Sample mobile app issue 83,,2026-08-02,2026-08-02
T00084,C00411,2026-03-22,Online Banking,M,NEW,Sample online banking issue 84,,2026-03-22,2026-03-22
T00085,C01134,2025-12-05,Account,M,IN PROGRESS,Sample account issue 85,,2025-12-05,2025-12-05
T00086,C00654,2026-05-31,Card,HIGH,OPEN,Sample card issue 86,,2026-05-31,2026-05-31
T00087,C00980,2026-07-11,Transfers,L,RESOLVED,Sample transfers issue 87,2026-07-12,2026-07-11,2026-07-12
T00088,C00205,2025-09-09,Payments,HIGH,OPEN,Sample payments issue 88,,2025-09-09,2025-09-09
T00089,C00664,2025-11-13,Online Banking,MEDIUM,RESOLVED,Sample online banking issue 89,2025-11-14,2025-11-13,2025-11-14
T00090,C00238,2026-06-29,Payments,HIGH,OPEN,Sample payments issue 90,,2026-06-29,2026-06-29
T00091,C00634,2026-06-10,Mobile App,H,OPEN,Sample mobile app issue 91,,2026-06-10,2026-06-10
T00092,C00009,2026-06-10,Payments,HIGH,IN PROGRESS,Sample payments issue 92,,2026-06-10,2026-06-10
T00093,C00189,2025-11-25,Account,H,CLOSED,Sample account issue 93,2025-11-27,2025-11-25,2025-11-27
T00094,C00613,2026-06-12,Transfers,M,CLOSED,Sample transfers issue 94,2026-06-26,2026-06-12,2026-06-26
T00095,C00437,2026-06-10,Mobile App,MEDIUM,RESOLVED,Sample mobile app issue 95,2026-06-12,2026-06-10,2026-06-12
T00096,C00780,2025-12-18,Payments,M,CLOSED,Sample payments issue 96,2025-12-29,2025-12-18,2025-12-29
T00097,C00147,2026-01-11,Mobile App,HIGH,NEW,Sample mobile app issue 97,,2026-01-11,2026-01-11
T00098,C01023,2025-11-08,Online Banking,M,OPEN,Sample online banking issue 98,,2025-11-08,2025-11-08
T00099,C00777,2025-10-08,Transfers,H,OPEN,Sample transfers issue 99,,2025-10-08,2025-10-08
T00100,C00511,2025-10-27,Card,LOW,IN PROGRESS,Sample card issue 100,,2025-10-27,2025-10-27
T00101,C00582,2026-06-02,Account,H,OPEN,Sample account issue 101,,2026-06-02,2026-06-02
T00102,C00688,2026-07-11,Online Banking,HIGH,NEW,Sample online banking issue 102,,2026-07-11,2026-07-11
T00103,C00888,2026-03-02,Payments,LOW,OPEN,Sample payments issue 103,,2026-03-02,2026-03-02
T00104,C01123,2026-05-16,Payments,M,RESOLVED,Sample payments issue 104,2026-05-18,2026-05-16,2026-05-18
T00105,C00662,2026-02-23,Card,HIGH,IN PROGRESS,Sample card issue 105,,2026-02-23,2026-02-23
T00106,C00005,2025-09-17,Online Banking,HIGH,RESOLVED,Sample online banking issue 106,2025-09-26,2025-09-17,2025-09-26
T00107,C00997,2025-09-28,Account,LOW,IN PROGRESS,Sample account issue 107,,2025-09-28,2025-09-28
T00108,C01077,2026-07-16,Mobile App,M,RESOLVED,Sample mobile app issue 108,2026-07-24,2026-07-16,2026-07-24
T00109,C01168,2026-01-12,Mobile App,L,RESOLVED,Sample mobile app issue 109,2026-01-21,2026-01-12,2026-01-21
T00110,C00757,2026-04-27,Online Banking,H,OPEN,Sample online banking issue 110,,2026-04-27,2026-04-27
T00111,C00925,2025-10-20,Payments,M,IN PROGRESS,Sample payments issue 111,,2025-10-20,2025-10-20
T00112,C00746,2025-09-13,Account,L,RESOLVED,Sample account issue 112,2025-09-19,2025-09-13,2025-09-19
T00113,C00919,2026-03-20,Card,LOW,NEW,Sample card issue 113,,2026-03-20,2026-03-20
T00114,C00828,2026-07-05,Payments,HIGH,RESOLVED,Sample payments issue 114,2026-07-09,2026-07-05,2026-07-09
T00115,C00752,2025-09-18,Payments,H,IN PROGRESS,Sample payments issue 115,,2025-09-18,2025-09-18
T00116,C00047,2026-04-08,Payments,LOW,RESOLVED,Sample payments issue 116,2026-04-08,2026-04-08,2026-04-08
T00117,C00563,2026-07-28,Account,H,OPEN,Sample account issue 117,,2026-07-28,2026-07-28
T00118,C01043,2026-04-27,Payments,LOW,OPEN,Sample payments issue 118,,2026-04-27,2026-04-27
T00119,C00083,2026-01-15,Account,LOW,NEW,Sample account issue 119,,2026-01-15,2026-01-15
T00120,C00008,2025-11-29,Online Banking,LOW,RESOLVED,Sample online banking issue 120,2025-12-02,2025-11-29,2025-12-02
T00121,C00557,2026-01-20,Transfers,H,RESOLVED,Sample transfers issue 121,2026-01-21,2026-01-20,2026-01-21
T00122,C00289,2025-12-13,Mobile App,H,NEW,Sample mobile app issue 122,,2025-12-13,2025-12-13
T00123,C01028,2025-12-20,Card,LOW,RESOLVED,Sample card issue 123,2025-12-25,2025-12-20,2025-12-25
T00124,C00331,2026-06-23,Account,HIGH,OPEN,Sample account issue 124,,2026-06-23,2026-06-23
T00125,C00304,2026-04-23,Mobile App,HIGH,NEW,Sample mobile app issue 125,,2026-04-23,2026-04-23
T00126,C00027,2026-05-21,Account,L,CLOSED,Sample account issue 126,2026-05-25,2026-05-21,2026-05-25
T00127,C01078,2026-03-29,Card,HIGH,RESOLVED,Sample card issue 127,2026-04-08,2026-03-29,2026-04-08
T00128,C00003,2026-02-16,Online Banking,M,CLOSED,Sample online banking issue 128,2026-02-25,2026-02-16,2026-02-25
T00129,C01136,2026-07-02,Transfers,M,OPEN,Sample transfers issue 129,,2026-07-02,2026-07-02
T00130,C00764,2025-12-30,Card,H,CLOSED,Sample card issue 130,2026-01-02,2025-12-30,2026-01-02
T00131,C00711,2025-08-23,Card,LOW,OPEN,Sample card issue 131,,2025-08-23,2025-08-23
T00132,C00653,2026-08-03,Card,MEDIUM,IN PROGRESS,Sample card issue 132,,2026-08-03,2026-08-03
T00133,C01087,2026-06-05,Transfers,L,NEW,Sample transfers issue 133,,2026-06-05,2026-06-05
T00134,C00593,2026-06-12,Payments,H,OPEN,Sample payments issue 134,,2026-06-12,2026-06-12
T00135,C01140,2025-09-25,Payments,H,IN PROGRESS,Sample payments issue 135,,2025-09-25,2025-09-25
T00136,C00262,2025-10-16,Online Banking,L,RESOLVED,Sample online banking issue 136,2025-10-23,2025-10-16,2025-10-23
T00137,C00615,2030-01-01,Online Banking,H,OPEN,Sample online banking issue 137,,2030-01-01,2026-08-10
T00138,C00675,2025-10-04,Transfers,HIGH,IN PROGRESS,Sample transfers issue 138,,2025-10-04,2025-10-04
T00139,C00682,2026-03-17,Mobile App,HIGH,OPEN,Sample mobile app issue 139,,2026-03-17,2026-03-17
T00140,C00538,2025-11-30,Transfers,M,OPEN,Sample transfers issue 140,,2025-11-30,2025-11-30
T00141,C00590,2025-12-21,Payments,LOW,CLOSED,Sample payments issue 141,2026-01-03,2025-12-21,2026-01-03
T00142,C00075,2025-10-01,Mobile App,HIGH,NEW,Sample mobile app issue 142,,2025-10-01,2025-10-01
T00143,C00790,2026-07-06,Online Banking,HIGH,CLOSED,Sample online banking issue 143,2026-07-13,2026-07-06,2026-07-13
T00144,C00466,2026-02-23,Transfers,MEDIUM,RESOLVED,Sample transfers issue 144,2026-02-23,2026-02-23,2026-02-23
T00145,C00299,2025-11-06,Transfers,H,CLOSED,Sample transfers issue 145,2025-11-09,2025-11-06,2025-11-09
T00146,C00491,2026-04-27,Account,LOW,CLOSED,Sample account issue 146,2026-05-11,2026-04-27,2026-05-11
T00147,C00680,2026-01-24,Account,L,CLOSED,Sample account issue 147,2026-01-24,2026-01-24,2026-01-24
T00148,C00763,2026-03-06,Payments,L,IN PROGRESS,Sample payments issue 148,,2026-03-06,2026-03-06
T00149,C00043,2025-10-30,Transfers,L,IN PROGRESS,Sample transfers issue 149,,2025-10-30,2025-10-30
T00150,C00002,2026-03-29,Mobile App,MEDIUM,NEW,Sample mobile app issue 150,,2026-03-29,2026-03-29
T00151,C00611,2025-10-14,Transfers,M,RESOLVED,Sample transfers issue 151,2025-10-15,2025-10-14,2025-10-15
T00152,C00773,2026-06-01,Online Banking,H,CLOSED,Sample online banking issue 152,2026-06-14,2026-06-01,2026-06-14
T00153,C00942,2026-07-25,Payments,HIGH,RESOLVED,Sample payments issue 153,2026-08-04,2026-07-25,2026-08-04
T00154,C00910,2026-04-21,Account,H,RESOLVED,Sample account issue 154,2026-04-29,2026-04-21,2026-04-29
T00155,C00910,2026-07-07,Card,MEDIUM,RESOLVED,Sample card issue 155,2026-07-17,2026-07-07,2026-07-17
T00156,C01148,2026-07-02,Payments,H,NEW,Sample payments issue 156,,2026-07-02,2026-07-02
T00157,C00733,2026-03-18,Card,HIGH,CLOSED,Sample card issue 157,2026-03-19,2026-03-18,2026-03-19
T00158,C00575,2025-09-27,Mobile App,HIGH,OPEN,Sample mobile app issue 158,,2025-09-27,2025-09-27
T00159,C00815,2025-12-16,Transfers,M,RESOLVED,Sample transfers issue 159,2025-12-21,2025-12-16,2025-12-21
T00160,C01022,2026-04-03,Payments,HIGH,IN PROGRESS,Sample payments issue 160,,2026-04-03,2026-04-03
T00161,C00578,2026-03-06,Mobile App,LOW,OPEN,Sample mobile app issue 161,,2026-03-06,2026-03-06
T00162,C00289,2026-05-16,Transfers,M,NEW,Sample transfers issue 162,,2026-05-16,2026-05-16
T00163,C01050,2026-05-21,Account,H,NEW,Sample account issue 163,,2026-05-21,2026-05-21
T00164,C00931,2026-08-02,Online Banking,LOW,IN PROGRESS,Sample online banking issue 164,,2026-08-02,2026-08-02
T00165,C00678,2026-06-15,Online Banking,M,IN PROGRESS,Sample online banking issue 165,,2026-06-15,2026-06-15
T00166,C01095,2026-04-14,Account,M,RESOLVED,Sample account issue 166,2026-04-17,2026-04-14,2026-04-17
T00167,C00059,2026-03-10,Mobile App,MEDIUM,RESOLVED,Sample mobile app issue 167,2026-03-19,2026-03-10,2026-03-19
T00168,C00333,2026-05-21,Online Banking,M,RESOLVED,Sample online banking issue 168,2026-06-02,2026-05-21,2026-06-02
T00169,C00126,2026-05-26,Payments,HIGH,IN PROGRESS,Sample payments issue 169,,2026-05-26,2026-05-26
T00170,C00296,2026-05-01,Transfers,L,NEW,Sample transfers issue 170,,2026-05-01,2026-05-01
T00171,C00372,2026-02-26,Account,HIGH,CLOSED,Sample account issue 171,2026-03-07,2026-02-26,2026-03-07
T00172,C01102,2026-07-07,Transfers,HIGH,IN PROGRESS,Sample transfers issue 172,,2026-07-07,2026-07-07
T00173,C00573,2025-11-23,Online Banking,H,RESOLVED,Sample online banking issue 173,2025-11-30,2025-11-23,2025-11-30
T00174,C00377,2026-06-08,Payments,LOW,CLOSED,Sample payments issue 174,2026-06-21,2026-06-08,2026-06-21
T00175,C00324,2025-10-06,Payments,H,CLOSED,Sample payments issue 175,2025-10-08,2025-10-06,2025-10-08
T00176,C00285,2025-12-13,Card,HIGH,IN PROGRESS,Sample card issue 176,,2025-12-13,2025-12-13
T00177,C00835,2026-08-05,Online Banking,MEDIUM,IN PROGRESS,Sample online banking issue 177,,2026-08-05,2026-08-05
T00178,C00736,2025-11-14,Online Banking,LOW,NEW,Sample online banking issue 178,,2025-11-14,2025-11-14
T00179,C00784,2026-04-17,Payments,L,CLOSED,Sample payments issue 179,2026-04-22,2026-04-17,2026-04-22
T00180,C00454,2026-05-03,Payments,HIGH,RESOLVED,Sample payments issue 180,2026-05-03,2026-05-03,2026-05-03
T00181,C00249,2026-02-18,Card,HIGH,OPEN,Sample card issue 181,,2026-02-18,2026-02-18
T00182,C00093,2025-10-22,Mobile App,M,NEW,Sample mobile app issue 182,,2025-10-22,2025-10-22
T00183,C00379,2025-11-19,Online Banking,HIGH,IN PROGRESS,Sample online banking issue 183,,2025-11-19,2025-11-19
T00184,C01199,2026-07-26,Transfers,H,RESOLVED,Sample transfers issue 184,2026-07-29,2026-07-26,2026-07-29
T00185,C00499,2026-06-25,Transfers,HIGH,CLOSED,Sample transfers issue 185,2026-07-02,2026-06-25,2026-07-02
T00186,C00998,2026-02-08,Payments,H,CLOSED,Sample payments issue 186,2026-02-15,2026-02-08,2026-02-15
T00187,C00120,2025-10-13,Online Banking,LOW,OPEN,Sample online banking issue 187,,2025-10-13,2025-10-13
T00188,C01192,2026-08-07,Transfers,LOW,NEW,Sample transfers issue 188,,2026-08-07,2026-08-07
T00189,C00300,2026-02-25,Payments,HIGH,RESOLVED,Sample payments issue 189,2026-02-28,2026-02-25,2026-02-28
T00190,C01009,2026-02-25,Transfers,H,RESOLVED,Sample transfers issue 190,2026-03-05,2026-02-25,2026-03-05
,C00634,2025-11-28,Account,H,IN PROGRESS,Sample account issue 191,,2025-11-28,2025-11-28
T00192,C00001,2025-12-31,Card,M,CLOSED,Sample card issue 192,2026-01-04,2025-12-31,2026-01-04
T00193,C00480,2026-02-23,Card,H,NEW,Sample card issue 193,,2026-02-23,2026-02-23
T00194,C00155,2026-02-02,Mobile App,M,RESOLVED,Sample mobile app issue 194,2026-02-16,2026-02-02,2026-02-16
T00195,C00590,2026-03-02,Payments,HIGH,RESOLVED,Sample payments issue 195,2026-03-11,2026-03-02,2026-03-11
T00196,C00243,2026-01-03,Transfers,L,OPEN,Sample transfers issue 196,,2026-01-03,2026-01-03
T00197,C00214,2026-03-20,Card,H,IN PROGRESS,Sample card issue 197,,2026-03-20,2026-03-20
T00198,C00862,2025-09-09,Payments,LOW,RESOLVED,Sample payments issue 198,2025-09-24,2025-09-09,2025-09-24
T00199,C00706,2026-01-11,Online Banking,HIGH,IN PROGRESS,Sample online banking issue 199,,2026-01-11,2026-01-11
T00200,C00257,2025-09-15,Online Banking,H,RESOLVED,Sample online banking issue 200,2025-09-28,2025-09-15,2025-09-28
