account_id,customer_id,account_type,account_category,product_family,deposit_credit_type,interest_bearing_flag,risk_category,currency_code,is_active_product,account_status,balance,opened_date,closed_date,branch_code,branch_name,branch_city,branch_state,branch_country,branch_region,branch_type,is_active_branch,created_date,updated_date
A00001,C00250,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,68247.79,2019-11-06,2023-05-31,BR014,Halifax Branch 14,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2019-11-06,2026-08-18
A00002,C00130,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,36641.54,2019-06-24,2020-12-29,BR016,Calgary Branch 16,Calgary,Alberta,Canada,West,Retail,1,2019-06-24,2026-08-18
A00003,C00479,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,ACTIVE,94429.96,2021-07-08,,BR023,Vancouver Branch 23,Vancouver,British Columbia,Canada,West,Retail,1,2021-07-08,2026-08-18
A00004,C00660,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,C,19034.97,2018-09-11,2026-08-10,BR005,Vancouver Branch 5,Vancouver,British Columbia,Canada,West,Retail,1,2018-09-11,2026-08-18
A00005,C00787,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,CLOSED,31002.73,2017-04-16,2017-08-03,BR004,Calgary Branch 4,Calgary,Alberta,Canada,West,Retail,1,2017-04-16,2026-08-18
A00006,C00545,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,CLOSED,60061.28,2020-02-17,2025-05-26,BR024,Calgary Branch 24,Calgary,Alberta,Canada,West,Retail,1,2020-02-17,2026-08-18
A00007,C00121,SAVING,Deposit,Retail Banking,Deposit,1,Low,CAD,1,C,13879.88,2022-04-26,2026-05-22,BR025,Vancouver Branch 25,Vancouver,British Columbia,Canada,West,Retail,1,2022-04-26,2026-08-18
A00008,C01151,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,82396.1,2017-11-01,2021-11-28,BR016,Toronto Branch 16,Toronto,Ontario,Canada,Central,Retail,1,2017-11-01,2026-08-18
A00009,C00386,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,82325.71,2020-08-11,,BR021,Montreal Branch 21,Montreal,Quebec,Canada,Central,Retail,1,2020-08-11,2026-08-18
A00010,C00023,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,C,78966.29,2011-12-07,2017-07-31,BR014,Montreal Branch 14,Montreal,Quebec,Canada,Central,Retail,1,2011-12-07,2026-08-18
A00011,C00864,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,A,2396.53,2016-03-10,,BR021,Montreal Branch 21,Montreal,Quebec,Canada,Central,Retail,1,2016-03-10,2026-08-18
A00012,C00644,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,15276.33,2024-03-15,2025-11-03,BR015,Montreal Branch 15,Montreal,Quebec,Canada,Central,Retail,1,2024-03-15,2026-08-18
A00013,C00662,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,15871.56,2024-05-07,2025-03-24,BR005,Montreal Branch 5,Montreal,Quebec,Canada,Central,Retail,1,2024-05-07,2026-08-18
A00014,C00769,SAVING,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,13746.16,2011-06-18,2019-10-25,BR024,Halifax Branch 24,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2011-06-18,2026-08-18
A00015,C01159,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,C,64183.91,2020-07-06,2020-12-24,BR011,Vancouver Branch 11,Vancouver,British Columbia,Canada,West,Retail,1,2020-07-06,2026-08-18
A00016,C00287,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,ACTIVE,49416.0,2011-12-23,,BR003,Calgary Branch 3,Calgary,Alberta,Canada,West,Retail,1,2011-12-23,2026-08-18
A00017,C00693,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,75343.29,2015-12-08,,BR012,Halifax Branch 12,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2015-12-08,2026-08-18
A00018,C00811,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,5746.12,2020-02-16,2026-04-27,BR014,Vancouver Branch 14,Vancouver,British Columbia,Canada,West,Retail,1,2020-02-16,2026-08-18
A00019,C00466,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,11082.54,2012-04-15,,BR009,Calgary Branch 9,Calgary,Alberta,Canada,West,Retail,1,2012-04-15,2026-08-18
A00020,C00449,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,47608.67,2010-01-21,,BR002,Halifax Branch 2,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2010-01-21,2026-08-18
A00021,C00811,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,75474.29,2014-09-11,2023-06-20,BR022,Toronto Branch 22,Toronto,Ontario,Canada,Central,Retail,1,2014-09-11,2026-08-18
